Module,PROBE_ID
M2.1,ILMN_1863656
M2.1,ILMN_1798581
M2.1,ILMN_1761963
M2.1,ILMN_1812105
M2.1,ILMN_1750093
M2.1,ILMN_1817275
M2.1,ILMN_1912662
M2.1,ILMN_1727287
M2.1,ILMN_1694399
M2.1,ILMN_1673421
M2.1,ILMN_1911503
M2.1,ILMN_1814039
M2.1,ILMN_1832879
M2.1,ILMN_1835631
M2.1,ILMN_1761865
M2.1,ILMN_1743476
M2.1,ILMN_1775444
M2.1,ILMN_1657913
M2.1,ILMN_1680279
M2.1,ILMN_1742431
M2.1,ILMN_1737078
M2.1,ILMN_1903914
M2.1,ILMN_1807003
M2.2,ILMN_1833478
M2.2,ILMN_1689897
M2.2,ILMN_1727005
M2.2,ILMN_1684407
M2.2,ILMN_1802603
M2.2,ILMN_1723116
M2.2,ILMN_1666258
M2.2,ILMN_1795254
M2.2,ILMN_1753925
M2.2,ILMN_1733560
M2.2,ILMN_2215640
M2.2,ILMN_1730351
M2.2,ILMN_1889329
M2.2,ILMN_1745941
M2.2,ILMN_2291407
M2.2,ILMN_1802434
M2.2,ILMN_1657332
M2.2,ILMN_1734855
M2.2,ILMN_2382290
M2.2,ILMN_1854015
M2.2,ILMN_1860084
M2.2,ILMN_1882560
M2.2,ILMN_1827211
M2.2,ILMN_1693949
M2.2,ILMN_1830015
M2.2,ILMN_1740217
M2.2,ILMN_1661596
M2.2,ILMN_1769191
M2.2,ILMN_1893033
M2.2,ILMN_1780769
M2.2,ILMN_1715814
M2.2,ILMN_1696702
M2.2,ILMN_1699334
M2.2,ILMN_1681826
M2.2,ILMN_1704022
M2.2,ILMN_1656118
M2.2,ILMN_1654010
M2.2,ILMN_1708891
M2.2,ILMN_1768194
M2.2,ILMN_1803597
M2.2,ILMN_1744709
M2.2,ILMN_1904853
M2.2,ILMN_1689241
M2.2,ILMN_1813028
M2.2,ILMN_1888264
M2.2,ILMN_1671215
M2.2,ILMN_1730851
M2.2,ILMN_1721102
M2.2,ILMN_1807556
M2.2,ILMN_2201668
M2.2,ILMN_1759563
M2.2,ILMN_2230998
M2.2,ILMN_1749882
M2.2,ILMN_1796087
M2.2,ILMN_1653821
M2.2,ILMN_1868407
M2.2,ILMN_1900929
M2.2,ILMN_1876778
M2.2,ILMN_1655537
M2.2,ILMN_1808797
M2.2,ILMN_1799728
M2.2,ILMN_1910919
M2.2,ILMN_1784230
M2.2,ILMN_1773850
M2.2,ILMN_2269392
M2.2,ILMN_1707095
M2.2,ILMN_1911361
M2.2,ILMN_1839647
M2.2,ILMN_1757882
M2.2,ILMN_1804332
M2.2,ILMN_1713088
M2.2,ILMN_1790106
